DE_union_geneID	DE_union_transID
ENSG00000106772	ENST00000376718
ENSG00000106785	ENST00000341469
ENSG00000106789	ENST00000343933
ENSG00000106823	ENST00000344604
ENSG00000106829	ENST00000376552
ENSG00000106853	ENST00000407693
ENSG00000106948	ENST00000374088
ENSG00000106991	ENST00000344849
ENSG00000106993	ENST00000381854
ENSG00000107105	ENST00000397312
ENSG00000107165	ENST00000388918
ENSG00000107201	ENST00000679665
ENSG00000107249	ENST00000381971
ENSG00000107281	ENST00000371600
ENSG00000107282	ENST00000265381
ENSG00000107331	ENST00000371605
ENSG00000107521	ENST00000699134
ENSG00000107537	ENST00000396920
ENSG00000107551	ENST00000340258
ENSG00000107554	ENST00000324109
ENSG00000107562	ENST00000374429
ENSG00000107566	ENST00000421367
ENSG00000107643	ENST00000374179
ENSG00000107719	ENST00000697548
ENSG00000107738	ENST00000394957
ENSG00000107815	ENST00000370228
ENSG00000107816	ENST00000370220
ENSG00000107819	ENST00000393459
