geneName	HEK293_2h	HMECs_1h	HMECs_24h	MCF10A_2h	M231_1h	SUM159PT_1h	SUM159PT_24h
SLC51A	NA	0.337358	3.82864	0.236744	-2.0466	1.91406	-0.179861
CDC25A	0.647503135426739	-0.0749955	-1.05031	-1.24513	0.20744	0.936325	-0.0402089
BSN	0.990210400182851	2.14471	3.82864	1.82171	-0.0405241	0.213621	-0.501789
SLC25A32	0.950988853443673	0.430467	-1.03872	-0.383668	-0.15271	-1.59373	-1.02374
ZNF367	0.456023219087303	0.0797574	-1.06921	0.773772	0.158272	-0.0664873	-0.377748
DEPP1	0.517652172696675	-0.455876	-1.08418	3.93718	-1.31487	-0.371342	-0.501789
C1QL3	NA	1.33736	3.24368	0.236744	-0.250742	1.21362	0.498211
RPL27A	0.932173071485312	-0.0468679	-1.02641	-1.99651	0.512086	-0.548286	-1.06273
RBFOX3	NA	1.33736	4.33114	0.236744	-0.250742	1.21362	-0.501789
LINGO1	0.466467661629256	0.337358	4.88753	0.236744	1.07119	-2.37134	-1.50179
TM4SF4	NA	0.337358	3.24368	0.236744	-0.250742	1.21362	0.498211
VSTM2A	NA	1.33736	3.4136	0.236744	-0.698201	3.79858	1.49821
RPS9	0.799471103046929	-0.0146274	-1.04109	-1.80182	0.211668	0.215033	-0.879171
ALK	NA	0.752395	3.30257	0.236744	0.486224	3.21362	0.498211
CHST11	0.559071048949224	-0.355461	-1.07418	-0.299757	0.460461	-0.618652	-0.21588
ALG14	0.974614562460209	0.00653341	-1.1021	0.189438	-0.0170694	-0.993975	0.0682231
PPP1R3B	NA	-0.258745	-1.0238	-0.626754	0.0429894	2.53555	0.498211
HSPB7	NA	1.33736	3.70311	0.236744	1.33422	0.213621	-1.50179
CCDC184	NA	1.55975	5.6245	-0.763256	0.597255	0.213621	-1.08675
CALML5	NA	0.92232	3.24368	0.236744	-0.250742	1.21362	0.498211
NLRP8	NA	0.337358	5.79827	0.236744	-0.250742	3.53555	1.49821
IBA57	0.698236132423132	0.374833	-1.05005	0.630763	0.836721	0.162995	-1.11184
TFDP3	NA	1.33736	3.24368	0.236744	-0.250742	1.21362	0.498211
ALDH1A3	NA	0.0634098	-1.0739	-2.13204	0.0921459	4.46155	2.08317
CLCNKB	NA	0.337358	3.82864	-0.763256	-0.250742	2.21362	0.498211
MAFF	NA	-0.662642	-1.0238	0.370525	-0.00562929	0.213621	-0.97572
PDZD7	0.761347593123248	0.337358	5.27832	1.23674	1.85359	5.93882	0.983638
PDCD1	NA	1.33736	6.58353	0.236744	3.86196	7.73718	4.08317
FBLL1	NA	2.65929	4.05103	-0.348219	0.749258	0.213621	-1.08675
BEND4	0.629674603194424	1.71587	4.00921	0.236744	0.334221	0.213621	1.49821
FAM111B	NA	0.161699	-1.03749	-1.23719	0.323987	0.509862	-0.276369
ZNF107	0.913959349929016	-0.391995	-1.03316	0.821706	0.301799	0.389192	0.133214
NOXO1	NA	0.851931	5.58098	1.23674	0.749258	1.21362	1.49821
LCE1C	NA	2.65929	3.24368	0.236744	0.749258	1.21362	0.498211
DACT3	0.749491599231515	2.92232	5.88753	0.429389	0.597255	-0.371342	-1.08675
COL13A1	NA	0.05725	-1.09376	1.23674	-0.298583	2.21362	0.498211
RPL37A	0.155601488970106	0.0164416	-1.01166	-1.96106	0.457811	-0.635715	-0.337353
ZNF511	0.895934811601913	-0.162213	-1.02641	1.02524	0.42733	0.576191	-0.724181
SFMBT2	0.763755111748461	1.65929	3.99857	1.14928	0.0711863	1.40627	-1.30914
SOWAHA	NA	0.659286	3.85839	0.236744	1.07119	2.62866	-0.0867515
SYS1	0.627628094579778	-0.325607	-1.00425	-0.149148	0.467487	0.365624	-0.906179
RPS29	0.489051000549005	-0.00496853	-1.03472	-1.19427	0.580489	-0.155229	-0.612082
EEF1G	0.98439470435019	-0.0736099	-1.08054	-2.43568	0.530248	-0.0484923	-1.01045
XKR7	NA	0.92232	4.19787	0.236744	0.749258	1.79858	-0.501789
GRIN2B	NA	0.337358	3.70311	0.236744	-0.835704	1.79858	0.498211
TMEM275	NA	1.33736	3.24368	0.236744	2.33422	6.38355	4.19865
ENSG00000285625	0.86273048857553	-0.486319	-1.00786	0.306006	0.41911	-0.710548	-0.534211
MAP3K9	0.454511189689321	-0.752623	-0.965357	-1.0148	-0.440666	-0.209591	0.107421
CD44	0.984813578232116	0.0694398	-0.386603	-1.01416	0.262845	-0.148788	-0.0257757
MXD1	0.217718132733184	-0.0559845	-0.601044	3.23674	-0.349822	-1.1986	-0.081116
RPL18	0.925184683381833	-0.000184271	-0.698667	-1.00404	0.245293	-0.598738	-0.579661
WDR3	0.843278966392158	-0.0404153	-0.310834	-1.02954	0.0825253	-0.473949	0.190673
STK10	0.99608683050504	0.249678	-0.367564	-1.0227	-0.14637	0.615947	-0.26143
PLXNA2	0.478786804129439	-0.0409348	-0.539257	-1.03032	0.161519	-0.222198	-0.565054
COL5A3	NA	0.235478	1.1241	-1.03456	-0.250742	0.987739	-1.15088
PIK3IP1	NA	1.0378	2.65307	4.15428	-0.513776	-0.798352	0.265848
HMOX1	0.639765238000565	0.211827	0.0510324	4.19575	-0.0961298	0.839225	-0.155339
FERMT1	NA	-0.017627	-0.555126	-1.01243	0.354979	-0.74115	0.301622
BMF	NA	-0.662642	0.243678	4.52215	-0.665779	-0.148949	0.650214
EYA1	0.36824510292352	1.92232	1.24368	4.00933	-0.113238	-1.10831	1.17628
BBC3	0.682858590201181	-0.314719	1.24368	3.57659	-0.0643287	-0.69327	0.193356
DNAJC2	0.910624723615884	0.230819	-0.299116	-1.03551	-0.0326017	0.088608	0.0774598
HBP1	0.489842243775733	0.194295	0.954171	3.7521	-0.140864	-0.815111	0.397223
HOXA5	0.856056990542412	0.498639	0.11391	2.7759	0.749258	0.406266	0.391296
MMD	0.910995153626459	-0.193157	-0.8718	-1.03335	0.140449	-0.523345	-0.501789
LTA4H	0.389620811881054	-0.0670324	-0.0318977	-1.0039	0.0441156	0.542243	0.0338782
CDKN1B	0.944027730455645	0.349533	0.0192459	2.97971	-0.285737	-0.751852	-0.0768019
CAND1	0.858325432127992	0.0164328	-0.23996	-1.02089	0.128004	-0.0689052	0.320978
NOP2	0.662029804250555	-0.0555568	-0.873712	-1.00476	0.00871273	-0.224232	-0.399476
PPARD	0.518916161430933	0.0296905	-0.672799	-1.02629	-0.660133	0.918165	0.415749
SRSF3	0.351035202275424	-0.0750977	-0.628913	-1.02784	0.187216	-0.214061	-0.568783
RARS1	0.837075551567498	0.00119437	-0.407279	-1.01732	0.0895088	-0.172767	0.168771
KLHL24	0.899746149828749	-0.368911	0.975982	3.60758	-0.0191161	-0.885915	0.49355
GALNT3	0.819194549436445	0.0131596	-0.470645	-1.02629	0.00922631	4.91406	-1.08675
IFIT2	NA	0.462889	0.871709	3.93718	-0.0724325	-1.40529	0.616267
CXCR4	0.736397730591417	0.337358	0.243678	5.32421	-0.443387	2.21362	0.498211
ATG101	0.90123784020506	0.070419	-0.599454	-1.02172	0.161806	-0.147935	-0.466685
KCNJ2	NA	-0.314719	-1.21575	3.23674	-1.8357	-0.371342	-0.0867515
PARD6B	0.620484242651484	-0.627877	-0.828472	4.0441	-0.136099	0.827266	0.767028
GRM4	NA	1.33736	2.56561	3.55867	0.749258	2.79858	0.498211
RIOK1	0.637532171795729	0.0389182	-0.282391	-1.00426	0.065094	-0.467626	0.397684
EREG	NA	-0.955747	-0.97226	-1.03093	-0.485207	-1.28751	-0.662496
MACF1	0.966296006193705	0.0519347	0.430366	-1.02629	-0.0672741	-0.325798	0.230909
