geneName	MCF10A_EtOH_4h	MCF10A_TAM_4h	Hela_6h	Hela_9h	MCF7_48h	T47D_48h	Hs578t_48h	MDAMB231_48h
PPP1R3B	1.55228201731537	0.307856681222413	0.594149	2.6994	-0.887417	-1.10236	-0.17769	0.384617
TRIB1	1.63136120961679	0.000762748582972519	-0.577194	1.3465	0.710241	0.369672	0.490328	0.695656
ZNRD2	-1.33671217565268	0.00231402150598981	0.116349	0.158911	-0.0192671	0.835053	0.20337	0.981167
CHD2	1.64049940074344	8.74729081640798e-08	0.697694	1.45591	-0.00328228	-0.697561	0.565373	0.170994
TLR6	2.67813224210491	0.0137518535195845	1.76683	0.607225	-0.384917	-1.53722	-2.4325	0.121582
CHRNA9	2.66324088486061	0.30281186217063	1.00988	1.1796	0.615083	0.632707	-0.625149	0.484152
DENND4A	1.15188304815191	0.00209637802968703	0.491322	0.711779	0.17802	0.00821587	0.214386	0.484152
DDIT3	3.79268673551277	4.2311435678718e-12	4.18249	4.69861	-3.32352	1.59954	4.3898	0.759787
CCDC85B	-1.43015291306263	0.251036774958348	-0.412435	-0.415811	-0.162524	0.632707	0.453706	1.65105
NUPR1	2.54749636240571	6.38250590071326e-13	3.65282	2.78001	-1.17488	0.454789	1.89625	1.6166
RTTN	1.05297536940889	4.10174557613507e-05	0.529156	1.08627	0.0117423	-0.494612	0.238349	-0.555376
ZBTB38	1.35608591457181	0.00020926028186701	0.401765	0.966409	0.615083	-0.326231	0.762349	0.772133
TGIF1	1.08932381374769	0.00172230045829775	0.371919	0.92677	-0.125829	0.220446	1.73517	0.336054
BEND3	-1.89596969862416	0.0504695999034145	-0.684308	-0.170405	0.153503	1.14728	0.682973	0.525972
ERN1	2.04730097504463	5.72968855607566e-13	2.29578	3.71502	-0.772987	0.861525	3.28174	0.136229
PER1	1.21103050708003	0.0125326702952977	0.985518	1.4731	-0.303997	-0.763222	2.18221	-0.477374
ALOXE3	3.28144746429056	8.8366261638466e-05	3.13754	4.17983	1.81672	-0.127623	1.37485	0.89919
GEMIN4	-1.09812368334638	0.10654863853543	-0.489321	-0.260943	0.212757	0.254977	-0.260331	0.352494
H2AC6	1.3804388301613	5.06210045401486e-07	2.46379	2.00635	-1.85046	-0.963303	0.152757	-1.02864
TNFSF15	4.13095085781453	NA	1.9257	3.63502	-0.384917	1.31078	-1.62515	0.0691148
TNRC18	1.19982028059061	0.0212158379706044	0.103943	0.820957	-0.213046	-0.170211	-0.15771	-0.0255221
UPP1	1.91494022770337	2.45839392714117e-07	0.631445	-0.0746001	-1.06299	-0.21529	1.78148	-0.10081
H2AC20	1.46141987720471	7.05224239692315e-09	1.0833	0.831966	-1.59908	-1.28693	0.21775	-0.667259
H1-10	1.19507618578155	0.000131193230098949	1.72566	2.27834	-0.825918	-0.87972	1.40032	0.495264
MAFF	1.90100755059718	3.3750576676828e-05	2.93011	4.08849	1.61508	0.0477442	3.48135	1.6166
NF2	-1.03457953559318	0.00277142812819492	-1.88005	-1.82974	-0.656219	-0.0486108	-0.384835	-0.615383
ZFP69B	2.448022159772	0.0341061130952305	-0.148169	1.19492	0.380618	0.632707	0.622778	0.484152
H1-2	1.19106244269013	4.27764663094938e-08	1.81529	0.526546	-2.03209	-2.04619	-0.795074	-0.90489
FAM111B	-1.45735345296789	0.68975665721969	0.58007	0.694646	1.89963	-0.312974	-0.60847	1.89014
H1-0	1.44138879777826	0.0456180817600938	3.50927	3.32349	-1.21416	-1.0516	0.611291	-0.0978569
TUBB	-1.02670388749201	0.00017656076025797	-1.23648	-0.766451	0.585599	-0.456209	-1.62087	0.156267
ASB13	-1.39200371145803	0.00176083740844226	0.254565	-0.440397	-0.384917	0.0202635	0.905366	-0.625472
EPHB4	-1.23872432451445	2.86640738501924e-05	-1.50865	-1.43733	0.2504	-0.804048	-0.958705	-1.48074
SLC6A9	2.19955814586479	9.29395831630269e-09	1.99789	2.35339	-0.0741771	1.03492	0.577943	-0.11531
H2AC13	1.3148963643756	0.000466056784578052	0.752777	0.700962	-1.53839	-1.40777	-1.31905	-0.710495
H2AC11	1.08394103135168	4.64301176566052e-05	1.68571	0.841473	-1.55906	0.462782	-0.694719	-1.11603
H2BC26	1.41978763069403	0.000541779751761529	0.949459	0.699246	-1.38492	-0.822088	-1.36211	0.484152
SERTAD1	1.06175615485825	0.0262607150616361	0.803731	1.10029	-0.359826	-0.193264	1.47673	1.64462
DYNC1H1	1.26645070307914	3.51666050487492e-09	2.12417	2.94012	0.275401	-0.102131	-0.467282	-0.717769
H3C4	1.13654337421697	2.72966455033764e-07	1.76242	2.02567	-0.970663	-1.31803	-0.54858	1.95808
TXNRD1	1.30183776171087	7.19973745280142e-08	-0.151475	-0.0651062	0.673246	0.601137	1.2353	0.355548
HSPA1A	-2.35470106742347	0.0213105567869064	-2.49225	-1.35092	NA	0.884245	-0.58908	1.80608
ADGRG1	1.08180762853102	0.786486894020048	-0.0630031	0.407304	NA	0.530316	-2.95699	-1.25907
CCDC71L	1.97859564278886	0.00250221587618343	1.25481	1.88145	NA	0.14728	1.12208	-0.515848
TXNIP	2.88070404137427	4.97967126951509e-09	1.99423	2.84489	NA	-0.235336	2.90259	1.65745
H3C11	1.05287336620851	0.0186253917897111	1.49229	1.3406	NA	-0.941763	-1.50557	0.314227
H3C1	1.25551322634013	3.46565216837577e-11	1.07503	0.675836	NA	-1.09769	-1.45727	-1.34367
DUSP14	1.04644335820904	0.26066851829722	0.892455	-0.305932	NA	0.745917	0.271473	0.921016
H2AC16	1.26614439174954	0.0088039037851201	2.27173	1.60107	NA	-1.11171	-1.74333	1.22112
H2AC8	1.33840871837819	3.46993613619654e-11	2.16341	1.96829	NA	-1.26716	-1.3008	1.28252
H2BC7	1.01511787268293	0.00451458380090046	2.1728	1.54929	NA	-1.61621	-0.681332	1.48415
H3C7	1.17960625475029	5.37257679436399e-06	1.94421	1.24262	NA	-0.970634	-0.707499	1.76426
H3C10	1.31551414410641	2.40310466959406e-08	2.06737	1.57056	NA	-1.24282	-0.795497	-1.31456
ENSG00000285133	5.23648458309203	0.00753350122247734	4.56225	3.47323	NA	0.710709	4.37485	-0.252813
H3C3	1.04928476768152	0.000233168329434005	2.39736	1.70722	NA	-1.43536	-0.572618	-1.55112
